Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability
AFGANISTHAN,101,Mohammad Nabi*,Yes,100,1667,21.9,140.3,84,7.29,19.20%,0.84,11.06%,30.27%,2%
AFGANISTHAN,102,FAREED AHMAD,NO,21,27,0,112.5,30,8.7,0.00%,1.43,15.76%,15.76%,2%
AFGANISTHAN,103,NAJIBULLAH ZADRAN*,NO,82,1512,32.2,142.4,1,4,28.66%,0.01,0.29%,28.95%,2%
AFGANISTHAN,104,QAIS AHMAD,NO,2,8,8,88.9,4,7.66,4.45%,2.00,25.07%,29.51%,2%
AFGANISTHAN,105,HAZRAT ZAZAI,NO,32,952,32.8,136.4,0,0,27.96%,0.00,,27.96%,2%
AFGANISTHAN,106,AZMATULLAH OMARZAI,NO,13,72,12,100,5,8.39,7.50%,0.38,4.40%,11.90%,2%
AFGANISTHAN,107,IBRAHIM ZADRAN,NO,12,324,36,108,0,0,24.30%,0.00,,24.30%,2%
AFGANISTHAN,108,MUJEEBUR RAHMAN,NO,32,31,10.3,106.9,44,6.04,6.88%,1.38,21.85%,28.74%,2%
AFGANISTHAN,109,NAVEEN-UL-HAQ,NO,19,18,18,85.7,26,7.91,9.64%,1.37,16.61%,26.25%,2%
AFGANISTHAN,110,FAZALHAQFAROOQI*,yes,15,0,0,0,19,6.76,0.00%,1.27,17.99%,17.99%,2%
AFGANISTHAN,111,RAHMANULLAH GURBAZ,NO,31,810,26.1,137.5,0,0,22.43%,0.00,,22.43%,2%
AFGANISTHAN,112,RASHID KHAN*,yes,70,240,10.9,111.1,116,6.19,7.57%,1.66,25.70%,33.27%,2%
AFGANISTHAN,113,MOHAMMAD SALEEM,NO,0,0,0,0,0,0,0.00%,0.00,,0.00%,2%
AFGANISTHAN,114,DARWISH RASOOLI,NO,4,34,11.33,79,0,0,5.59%,0.00,,5.59%,2%
AFGANISTHAN,115,USMAN GHANI,NO,30,691,25.6,109.2,0,0,17.47%,0.00,,17.47%,2%
AUSTRALIA,116,AARON FINCH*,NO,96,2950,34.3,143.3,0,12.5,30.72%,0.00,0.00%,30.72%,40%
AUSTRALIA,117,ASHTON AGAR,NO,45,277,12,101.5,46,6.46,7.61%,1.02,15.19%,22.80%,40%
AUSTRALIA,118,JOSH HAZLEWOOD,NO,35,20,10,166.7,50,7.64,10.42%,1.43,17.95%,28.37%,40%
AUSTRALIA,119,MITCHELL MARSH*,yes,42,996,30.2,126.9,15,7.76,23.95%,0.36,4.42%,28.37%,40%
AUSTRALIA,120,KANE RICHARDSON,NO,33,16,5.3,100,41,8.28,3.31%,1.24,14.40%,17.72%,40%
AUSTRALIA,121,MITCHELL STARC*,yes,53,93,10.3,103.3,68,7.58,6.65%,1.28,16.25%,22.90%,40%
AUSTRALIA,122,MATTHEW WADE,NO,69,958,24.6,130.3,0,0,20.03%,0.00,,20.03%,40%
AUSTRALIA,123,ADAM ZAMPA,NO,65,45,5.6,88.2,72,6.97,3.09%,1.11,15.26%,18.34%,40%
AUSTRALIA,124,PAT CUMMINS,NO,43,114,11.4,128,49,7.36,9.12%,1.14,14.86%,23.98%,40%
AUSTRALIA,125,TIM DAVID*,NO,21,723,38,160.3,5,9.32,38.07%,0.24,2.45%,40.52%,40%
AUSTRALIA,126,GLENN MAXWELL*,yes,91,2035,29.1,151.9,36,7.45,27.63%,0.40,5.10%,32.72%,40%
AUSTRALIA,127,STEVE SMITH,NO,58,980,26.5,125.6,17,7.77,20.80%,0.29,3.62%,24.42%,40%
AUSTRALIA,128,MARCUS STOINIS,NO,45,642,27.9,141.1,17,8.73,24.60%,0.38,4.15%,28.76%,40%
AUSTRALIA,129,DAVID WARNER*,yes,94,2820,33.6,142.2,0,0,29.86%,0.00,,29.86%,40%
AUSTRALIA,130,CAMERON GREEN*,NO,6,131,21.8,177,5,9.16,24.12%,0.83,8.73%,32.85%,40%
BANGLADESH,131,YASIR ALI,NO,7,89,17.8,136.9,0,0,15.23%,0.00,,15.23%,10%
BANGLADESH,132,NURUL HASAN,NO,40,379,17.2,119.2,0,0,12.81%,0.00,,12.81%,10%
BANGLADESH,133,NAJMUL SHANTO,NO,12,204,18.5,103,0,3,11.91%,0.00,0.00%,11.91%,10%
BANGLADESH,134,MUSADDEK HOSSAIN,NO,28,351,20.6,116.2,16,6.93,14.96%,0.57,7.92%,22.88%,10%
BANGLADESH,135,MEHIDY MIRAZ,NO,18,205,14.6,118.5,8,8.56,10.81%,0.44,4.98%,15.80%,10%
BANGLADESH,136,HASAN MAHMUD,NO,6,5,5,100,7,7.25,3.13%,1.17,15.45%,18.57%,10%
BANGLADESH,137,SHAKIB AL HASAN*,yes,102,2170,23.8,121.8,122,6.73,18.12%,1.20,17.06%,35.18%,10%
BANGLADESH,138,SHORIFUL ISLAM,NO,26,15,3,88.2,31,8.14,1.65%,1.19,14.06%,15.72%,10%
BANGLADESH,139,TASKIN AHMED*,yes,38,84,9.3,94.4,27,7.71,5.49%,0.71,8.85%,14.33%,10%
BANGLADESH,140,NASUM AHMED,NO,25,37,9.2,90,31,7.29,5.18%,1.24,16.33%,21.50%,10%
BANGLADESH,141,MUSTAFIZUR RAHMAN,yes,72,59,3.9,70,94,7.79,1.71%,1.31,16.09%,17.80%,10%
BANGLADESH,142,LITTON DAS*,yes,58,1246,22.2,128.6,0,0,17.84%,0.00,,17.84%,10%
BANGLADESH,143,EBADOT HOSSAIN,NO,3,0,0,0,6,9.58,0.00%,2.00,20.04%,20.04%,10%
BANGLADESH,144,AFIF HOSSAIN*,NO,53,906,22.1,120.8,8,8.25,16.69%,0.15,1.76%,18.44%,10%
BANGLADESH,145,SOUMYA SARKAR,NO,66,1092,17.2,119.9,10,9.96,12.89%,0.15,1.46%,14.35%,10%
ENGLAND,146,Jos Buttler*,NO,98,2395,33.73,143.75,0,0,30.30%,0.00,,30.30%,45%
ENGLAND,147,Mark Wood,NO,24,11,0,84.61,37,8.25,0.00%,1.54,17.94%,17.94%,45%
ENGLAND,148,David Willey,NO,43,226,15.06,130.63,51,8.18,12.30%,1.19,13.92%,26.21%,45%
ENGLAND,149,Phil Salt,NO,11,235,23.5,164.33,0,0,24.14%,0.00,,24.14%,45%
ENGLAND,150,Dawid Malan,NO,52,1710,38.86,136.8,1,13.5,33.23%,0.02,0.14%,33.36%,45%
ENGLAND,151,Chris Jordan,NO,82,422,15.07,136.56,90,8.71,12.86%,1.10,12.10%,24.96%,45%
ENGLAND,152,Harry Brook,NO,15,323,32.3,148.16,0,0,29.91%,0.00,,29.91%,45%
ENGLAND,153,Alex Hales,NO,70,1881,29.85,136.8,0,0,25.52%,0.00,,25.52%,45%
ENGLAND,154,Chris Woakes,NO,21,121,24.2,145.78,23,7.54,22.05%,1.10,13.94%,35.99%,45%
ENGLAND,155,Ben stokes*,NO,38,477,19.08,133.61,22,8.52,15.93%,0.58,6.52%,22.46%,45%
ENGLAND,156,Adil Rashid,NO,87,91,6.5,85.84,89,7.53,3.49%,1.02,13.04%,16.53%,45%
ENGLAND,157,Liam Livingstone*,NO,24,397,23.35,150.95,12,8.13,22.03%,0.50,5.90%,27.93%,45%
ENGLAND,158,Sam Curran,NO,30,146,12.16,136.44,33,7.8,10.37%,1.10,13.54%,23.91%,45%
ENGLAND,159,Moeen Ali*,NO,66,995,23.13,146.32,40,8.42,21.15%,0.61,6.91%,28.06%,45%
ENGLAND,160,Tymal Mills,NO,13,8,4,72.72,12,8.37,1.82%,0.92,10.59%,12.41%,45%
NEWZELAND,161,Kane Williamson,NO,82,2248,32.57,123.44,6,8.33,25.13%,0.07,0.84%,25.97%,35%
NEWZELAND,162,Tim Southee*,NO,101,250,11.36,140.44,125,8.2,9.97%,1.24,14.49%,24.46%,35%
NEWZELAND,163,Mitch Santner,NO,74,461,17.73,129.13,83,7.16,14.31%,1.12,15.04%,29.35%,35%
NEWZELAND,164,Jimmy Neesham,NO,54,661,25.42,164.83,25,9.12,26.19%,0.46,4.87%,31.06%,35%
NEWZELAND,165,Adam Milne,NO,33,33,33,100,35,7.75,20.63%,1.06,13.14%,33.76%,35%
