Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability
AFGANISTHAN,101,Mohammad Nabi*,YES,100,1667,21.9,140.3,84,7.29,0.192,0.84,0.1106,0.3027,0.02
AFGANISTHAN,102,FAREED AHMAD,NO,21,27,0,112.5,30,8.7,0,1.43,0.1576,0.1576,0.02
AFGANISTHAN,103,NAJIBULLAH ZADRAN*,NO,82,1512,32.2,142.4,1,4,0.2866,0.01,0.0029,0.2895,0.02
AFGANISTHAN,104,QAIS AHMAD,NO,2,8,8,88.9,4,7.66,0.0445,2,0.2507,0.2951,0.02
AFGANISTHAN,105,HAZRAT ZAZAI,NO,32,952,32.8,136.4,0,0,0.2796,0,0,0.2796,0.02
AFGANISTHAN,106,AZMATULLAH OMARZAI,NO,13,72,12,100,5,8.39,0.075,0.38,0.044,0.119,0.02
AFGANISTHAN,107,IBRAHIM ZADRAN,NO,12,324,36,108,0,0,0.243,0,0,0.243,0.02
AFGANISTHAN,108,MUJEEBUR RAHMAN,NO,32,31,10.3,106.9,44,6.04,0.0688,1.38,0.2185,0.2874,0.02
AFGANISTHAN,109,NAVEEN-UL-HAQ,NO,19,18,18,85.7,26,7.91,0.0964,1.37,0.1661,0.2625,0.02
AFGANISTHAN,110,FAZALHAQFAROOQI*,YES,15,0,0,0,19,6.76,0,1.27,0.1799,0.1799,0.02
AFGANISTHAN,111,RAHMANULLAH GURBAZ,NO,31,810,26.1,137.5,0,0,0.2243,0,0,0.2243,0.02
AFGANISTHAN,112,RASHID KHAN*,YES,70,240,10.9,111.1,116,6.19,0.0757,1.66,0.257,0.3327,0.02
AFGANISTHAN,113,MOHAMMAD SALEEM,NO,0,0,0,0,0,0,0,0,0,0,0.02
AFGANISTHAN,114,DARWISH RASOOLI,NO,4,34,11.33,79,0,0,0.0559,0,0,0.0559,0.02
AFGANISTHAN,115,USMAN GHANI,NO,30,691,25.6,109.2,0,0,0.1747,0,0,0.1747,0.02
AUSTRALIA,116,AARON FINCH*,NO,96,2950,34.3,143.3,0,12.5,0.3072,0,0,0.3072,0.4
AUSTRALIA,117,ASHTON AGAR,NO,45,277,12,101.5,46,6.46,0.0761,1.02,0.1519,0.228,0.4
AUSTRALIA,118,JOSH HAZLEWOOD,NO,35,20,10,166.7,50,7.64,0.1042,1.43,0.1795,0.2837,0.4
AUSTRALIA,119,MITCHELL MARSH*,YES,42,996,30.2,126.9,15,7.76,0.2395,0.36,0.0442,0.2837,0.4
AUSTRALIA,120,KANE RICHARDSON,NO,33,16,5.3,100,41,8.28,0.0331,1.24,0.144,0.1772,0.4
AUSTRALIA,121,MITCHELL STARC*,YES,53,93,10.3,103.3,68,7.58,0.0665,1.28,0.1625,0.229,0.4
AUSTRALIA,122,MATTHEW WADE,NO,69,958,24.6,130.3,0,0,0.2003,0,0,0.2003,0.4
AUSTRALIA,123,ADAM ZAMPA,NO,65,45,5.6,88.2,72,6.97,0.0309,1.11,0.1526,0.1834,0.4
AUSTRALIA,124,PAT CUMMINS,NO,43,114,11.4,128,49,7.36,0.0912,1.14,0.1486,0.2398,0.4
AUSTRALIA,125,TIM DAVID*,NO,21,723,38,160.3,5,9.32,0.3807,0.24,0.0245,0.4052,0.4
AUSTRALIA,126,GLENN MAXWELL*,YES,91,2035,29.1,151.9,36,7.45,0.2763,0.4,0.051,0.3272,0.4
AUSTRALIA,127,STEVE SMITH,NO,58,980,26.5,125.6,17,7.77,0.208,0.29,0.0362,0.2442,0.4
AUSTRALIA,128,MARCUS STOINIS,NO,45,642,27.9,141.1,17,8.73,0.246,0.38,0.0415,0.2876,0.4
AUSTRALIA,129,DAVID WARNER*,YES,94,2820,33.6,142.2,0,0,0.2986,0,0,0.2986,0.4
AUSTRALIA,130,CAMERON GREEN*,NO,6,131,21.8,177,5,9.16,0.2412,0.83,0.0873,0.3285,0.4
BANGLADESH,131,YASIR ALI,NO,7,89,17.8,136.9,0,0,0.1523,0,0,0.1523,0.1
BANGLADESH,132,NURUL HASAN,NO,40,379,17.2,119.2,0,0,0.1281,0,0,0.1281,0.1
BANGLADESH,133,NAJMUL SHANTO,NO,12,204,18.5,103,0,3,0.1191,0,0,0.1191,0.1
BANGLADESH,134,MUSADDEK HOSSAIN,NO,28,351,20.6,116.2,16,6.93,0.1496,0.57,0.0792,0.2288,0.1
BANGLADESH,135,MEHIDY MIRAZ,NO,18,205,14.6,118.5,8,8.56,0.1081,0.44,0.0498,0.158,0.1
BANGLADESH,136,HASAN MAHMUD,NO,6,5,5,100,7,7.25,0.0313,1.17,0.1545,0.1857,0.1
BANGLADESH,137,SHAKIB AL HASAN*,YES,102,2170,23.8,121.8,122,6.73,0.1812,1.2,0.1706,0.3518,0.1
BANGLADESH,138,SHORIFUL ISLAM,NO,26,15,3,88.2,31,8.14,0.0165,1.19,0.1406,0.1572,0.1
BANGLADESH,139,TASKIN AHMED*,YES,38,84,9.3,94.4,27,7.71,0.0549,0.71,0.0885,0.1433,0.1
BANGLADESH,140,NASUM AHMED,NO,25,37,9.2,90,31,7.29,0.0518,1.24,0.1633,0.215,0.1
BANGLADESH,141,MUSTAFIZUR RAHMAN,YES,72,59,3.9,70,94,7.79,0.0171,1.31,0.1609,0.178,0.1
BANGLADESH,142,LITTON DAS*,YES,58,1246,22.2,128.6,0,0,0.1784,0,0,0.1784,0.1
BANGLADESH,143,EBADOT HOSSAIN,NO,3,0,0,0,6,9.58,0,2,0.2004,0.2004,0.1
BANGLADESH,144,AFIF HOSSAIN*,NO,53,906,22.1,120.8,8,8.25,0.1669,0.15,0.0176,0.1844,0.1
BANGLADESH,145,SOUMYA SARKAR,NO,66,1092,17.2,119.9,10,9.96,0.1289,0.15,0.0146,0.1435,0.1
ENGLAND,146,Jos Buttler*,YES,98,2395,33.73,143.75,0,0,0.303,0,0,0.303,0.45
ENGLAND,147,Mark Wood,NO,24,11,0,84.61,37,8.25,0,1.54,0.1794,0.1794,0.45
ENGLAND,148,David Willey,NO,43,226,15.06,130.63,51,8.18,0.123,1.19,0.1392,0.2621,0.45
ENGLAND,149,Phil Salt,NO,11,235,23.5,164.33,0,0,0.2414,0,0,0.2414,0.45
