Team names,PLAYER ID,PLAYER NAME,Key_Player,MATCHES,TOTAL RUN,BATTING AVG,Strike Rate,Wickets,ECONOMY,IMPACT (batting),wicket/match,impact bowling,Total impact,Semi-probability,MVP
AFGANISTHAN,101,Mohammad Nabi*,NO,100,1667,21.9,140.3,84,7.29,0.19,0.84,0.11,0.3,0.02,YES
AFGANISTHAN,102,FAREED AHMAD,NO,21,27,0,112.5,30,8.7,0,1.43,0.16,0.16,0.02,NO
AFGANISTHAN,103,NAJIBULLAH ZADRAN*,NO,82,1512,32.2,142.4,1,4,0.29,0.01,0,0.29,0.02,NO
AFGANISTHAN,104,QAIS AHMAD,NO,2,8,8,88.9,4,7.66,0.04,2,0.25,0.3,0.02,NO
AFGANISTHAN,105,HAZRAT ZAZAI,YES,32,952,32.8,136.4,0,0,0.28,0,0,0.28,0.02,NO
AFGANISTHAN,106,AZMATULLAH OMARZAI,NO,13,72,12,100,5,8.39,0.08,0.38,0.04,0.12,0.02,NO
AFGANISTHAN,107,IBRAHIM ZADRAN,NO,12,324,36,108,0,0,0.24,0,0,0.24,0.02,NO
AFGANISTHAN,108,MUJEEBUR RAHMAN,NO,32,31,10.3,106.9,44,6.04,0.07,1.38,0.22,0.29,0.02,NO
AFGANISTHAN,109,NAVEEN-UL-HAQ,NO,19,18,18,85.7,26,7.91,0.1,1.37,0.17,0.26,0.02,NO
AFGANISTHAN,110,FAZALHAQFAROOQI*,YES,15,0,0,0,19,6.76,0,1.27,0.18,0.18,0.02,YES
AFGANISTHAN,111,RAHMANULLAH GURBAZ,NO,31,810,26.1,137.5,0,0,0.22,0,0,0.22,0.02,NO
AFGANISTHAN,112,RASHID KHAN*,YES,70,240,10.9,111.1,116,6.19,0.08,1.66,0.26,0.33,0.02,YES
AFGANISTHAN,113,MOHAMMAD SALEEM,NO,0,0,0,0,0,0,0,0,0,0,0.02,NO
AFGANISTHAN,114,DARWISH RASOOLI,NO,4,34,11.33,79,0,0,0.06,0,0,0.06,0.02,NO
AFGANISTHAN,115,USMAN GHANI,NO,30,691,25.6,109.2,0,0,0.17,0,0,0.17,0.02,NO
AUSTRALIA,116,AARON FINCH*,YES,96,2950,34.3,143.3,0,12.5,0.31,0,0,0.31,0.4,NO
AUSTRALIA,117,ASHTON AGAR,NO,45,277,12,101.5,46,6.46,0.08,1.02,0.15,0.23,0.4,NO
AUSTRALIA,118,JOSH HAZLEWOOD,NO,35,20,10,166.7,50,7.64,0.1,1.43,0.18,0.28,0.4,NO
AUSTRALIA,119,MITCHELL MARSH*,YES,42,996,30.2,126.9,15,7.76,0.24,0.36,0.04,0.28,0.4,YES
AUSTRALIA,120,KANE RICHARDSON,NO,33,16,5.3,100,41,8.28,0.03,1.24,0.14,0.18,0.4,NO
AUSTRALIA,121,MITCHELL STARC*,NO,53,93,10.3,103.3,68,7.58,0.07,1.28,0.16,0.23,0.4,YES
AUSTRALIA,122,MATTHEW WADE,NO,69,958,24.6,130.3,0,0,0.2,0,0,0.2,0.4,NO
AUSTRALIA,123,ADAM ZAMPA,NO,65,45,5.6,88.2,72,6.97,0.03,1.11,0.15,0.18,0.4,NO
AUSTRALIA,124,PAT CUMMINS,YES,43,114,11.4,128,49,7.36,0.09,1.14,0.15,0.24,0.4,NO
AUSTRALIA,125,TIM DAVID*,NO,21,723,38,160.3,5,9.32,0.38,0.24,0.02,0.41,0.4,NO
AUSTRALIA,126,GLENN MAXWELL*,YES,91,2035,29.1,151.9,36,7.45,0.28,0.4,0.05,0.33,0.4,YES
AUSTRALIA,127,STEVE SMITH,NO,58,980,26.5,125.6,17,7.77,0.21,0.29,0.04,0.24,0.4,NO
AUSTRALIA,128,MARCUS STOINIS,NO,45,642,27.9,141.1,17,8.73,0.25,0.38,0.04,0.29,0.4,NO
AUSTRALIA,129,DAVID WARNER*,YES,94,2820,33.6,142.2,0,0,0.3,0,0,0.3,0.4,YES
AUSTRALIA,130,CAMERON GREEN*,NO,6,131,21.8,177,5,9.16,0.24,0.83,0.09,0.33,0.4,NO
BANGLADESH,131,YASIR ALI,NO,7,89,17.8,136.9,0,0,0.15,0,0,0.15,0.1,NO
BANGLADESH,132,NURUL HASAN,NO,40,379,17.2,119.2,0,0,0.13,0,0,0.13,0.1,NO
BANGLADESH,133,NAJMUL SHANTO,NO,12,204,18.5,103,0,3,0.12,0,0,0.12,0.1,NO
